Title,Description,Reference,Category,Applicability,Status,Verification,Author,Reviewer,Parent,Justification
RM-SYS-0001 Marreq shall provide requirements and test management,"Marreq shall provide a web-based system for managing requirements, test cases, and requirement-to-test traceability.",RM-SYS-0001,Documentation,All Users,Draft,Code Review,System Administrator,Alice Johnson,,Trace: README.md; src/app.rs; src/routes/html/mod.rs; src/api/mod.rs
RM-AUTH-0001 Authentication and session management,Marreq shall implement the authentication and session management feature set. Acceptance: the related routes and services are present and usable.,RM-AUTH-0001,Authentication,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/auth/guards.rs; src/auth/session.rs
RM-PROJ-0001 Project access and membership,Marreq shall implement the project access and membership feature set. Acceptance: the related routes and services are present and usable.,RM-PROJ-0001,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/auth/guards.rs; src/services/project_service.rs; src/services/project_member_service.rs
RM-REQ-0001 Requirements management,Marreq shall implement the requirements management feature set. Acceptance: the related routes and services are present and usable.,RM-REQ-0001,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/services/requirement_service.rs; src/routes/html/project/requirements.rs; src/api/requirements.rs
RM-TEST-0001 Test case management,Marreq shall implement the test case management feature set. Acceptance: the related routes and services are present and usable.,RM-TEST-0001,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/services/test_service.rs; src/routes/html/project/tests.rs; src/api/tests.rs
RM-MATR-0001 Traceability matrix,Marreq shall implement the traceability matrix feature set. Acceptance: the related routes and services are present and usable.,RM-MATR-0001,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/services/matrix_service.rs; src/routes/html/project/matrix.rs; src/api/matrix.rs
RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Marreq shall implement the data import (xls/xlsx/csv) feature set. Acceptance: the related routes and services are present and usable.,RM-IMPRT-0001,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/importers/excel.rs; src/routes/html/excel.rs
RM-EXP-0001 Data export (XLS/CSV),Marreq shall implement the data export (xls/csv) feature set. Acceptance: the related routes and services are present and usable.,RM-EXP-0001,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/generators/excel.rs; src/services/matrix_service.rs
RM-API-0001 REST API,Marreq shall implement the rest api feature set. Acceptance: the related routes and services are present and usable.,RM-API-0001,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/api/mod.rs
RM-SRCH-0001 Semantic search and RAG,Marreq shall implement the semantic search and rag feature set. Acceptance: the related routes and services are present and usable.,RM-SRCH-0001,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/services/semantic_search; src/api/semantic_search.rs
